Customer,recency,frequency,monetary,R_Quartile,F_Quartile,M_Quartile,RFMClass
Abigail Long,132,4,589.96,2,2,2,222
Abigail Martin,289,3,128.97,4,3,3,433
Abigail Martinez,66,2,13.98,1,3,4,134
Abigail Miller,43,3,166.28,1,3,3,133
Abigail Morgan,261,4,4334.599999999999,3,2,1,321
Abigail Morris,197,1,2.29,3,4,4,344
Abigail Murphy,233,3,66.97,3,3,3,333
Abigail Patterson,146,8,4809.99,2,1,1,211
Abigail Perry,1105,1,3399.99,4,4,1,441
Abigail Peterson,73,2,32.28,1,3,4,134
Abigail Powell,118,2,1249.84,2,3,2,232
Abigail Price,71,7,3188.279999999999,1,1,1,111
Abigail Ramirez,114,6,74.14,2,1,3,213
Abigail Reed,107,2,1155.48,2,3,2,232
Abigail Richardson,94,7,5710.229599999999,2,1,1,211
Abigail Rivera,264,5,113.96,4,1,3,413
Abigail Robinson,95,4,2362.2699999999995,2,2,2,222
Abigail Rodriguez,356,1,539.99,4,4,2,442
Abigail Rogers,130,1,69.99,2,4,3,243
Abigail Ross,108,6,5670.4496,2,1,1,211
Abigail Russell,75,2,12.940000000000001,1,3,4,134
Abigail Sanchez,99,2,30.479999999999997,2,3,4,234
Abigail Sanders,234,4,77.92,3,2,3,323
Abigail Simmons,82,5,4146.94,1,1,1,111
Abigail Smith,353,2,1170.48,4,3,2,432
Abigail Stewart,80,2,2354.9799999999996,1,3,2,132
Abigail Thompson,54,5,4816.089999999999,1,1,1,111
Abigail Torres,30,1,4.99,1,4,4,144
Abigail Walker,327,3,1763.97,4,3,2,432
Abigail Ward,196,4,3371.3974999999996,3,2,1,321
Abigail Washington,139,4,3961.0324999999993,2,2,1,221
Abigail White,70,8,145.82,1,1,3,113
Abigail Williams,35,3,3110.0525,1,3,1,131
Abigail Wood,33,1,539.99,1,4,2,142
Adam Adams,46,2,141.98,1,3,3,133
Adam Allen,706,1,2181.5625,4,4,2,442
Adam Baker,37,4,5888.24,1,2,1,121
Adam Bryant,42,4,556.26,1,2,2,122
Adam Butler,76,2,38.980000000000004,1,3,4,134
Adam Campbell,254,5,2688.8895999999995,3,1,1,311
Adam Chen,372,2,574.98,4,3,2,432
Adam Collins,151,2,30.97,2,3,4,234
Adam Diaz,175,2,548.98,3,3,2,332
Adam Edwards,373,3,2398.0499999999997,4,3,2,432
Adam Evans,351,3,48.970000000000006,4,3,4,434
Adam Flores,81,7,6515.299999999999,1,1,1,111
Adam Gonzales,127,1,69.99,2,4,3,243
Adam Gonzalez,138,2,1468.5882000000001,2,3,2,232
Adam Green,297,3,2731.5424999999996,4,3,1,431
Adam Griffin,173,1,69.99,3,4,3,343
Adam Hall,119,3,74.98,2,3,3,233
Adam Hayes,36,5,597.95,1,1,2,112
Adam Henderson,247,3,1760.47,3,3,2,332
Adam Hernandez,266,3,47.94,4,3,4,434
Adam Hill,323,3,6056.61,4,3,1,431
Adam Hughes,288,3,37.269999999999996,4,3,4,434
Adam Jai,727,1,2443.35,4,4,2,442
Adam Jenkins,105,6,2793.502499999999,2,1,1,211
Adam King,148,4,14.559999999999999,2,2,4,224
Adam Kumar,348,2,76.97,4,3,3,433
Adam Lal,335,4,3030.0324999999993,4,2,1,421
Adam Li,156,2,13.98,2,3,4,234
Adam Long,60,3,1759.97,1,3,2,132
Adam Lopez,301,2,27.279999999999998,4,3,4,434
Adam Mitchell,77,6,2396.939999999999,1,1,2,112
Adam Nelson,99,3,128.97,2,3,3,233
Adam Parker,116,2,1709.98,2,3,2,232
Adam Patterson,240,4,597.26,3,2,2,322
Adam Perez,326,2,39.980000000000004,4,3,4,434
Adam Perry,161,3,1538.5782000000002,2,3,2,232
Adam Phillips,32,4,4188.24,1,2,1,121
Adam Powell,208,3,3936.5424999999996,3,3,1,331
Adam Roberts,87,5,108.96000000000001,2,1,3,213
Adam Ross,211,9,8215.99,3,1,1,311
Adam Russell,65,3,2371.9599999999996,1,3,2,132
Adam Scott,198,9,243.01,3,1,3,313
Adam Shan,171,1,69.99,3,4,3,343
Adam Sharma,58,3,1622.47,1,3,2,132
Adam Simmons,221,1,4.99,3,4,4,344
Adam Turner,95,2,548.98,2,3,2,232
Adam Wang,264,3,22.93,4,3,4,434
Adam Washington,35,2,13.98,1,3,4,134
Adam Wright,163,1,4.99,2,4,4,244
Adam Young,91,11,200.20000000000005,2,1,3,213
Adam Zhang,378,3,1728.27,4,3,2,432
Adrian Bailey,76,2,1155.48,1,3,2,132
Adrian Bell,10,5,72.21000000000001,1,1,3,113
Adrian Brooks,34,1,29.99,1,4,4,144
Adrian Cook,166,3,88.97999999999999,2,3,3,233
Adrian Cooper,108,3,1503.5782000000002,2,3,2,232
Adrian Cox,116,3,39.47,2,3,4,234
Adrian Gray,108,5,2385.939999999999,2,1,2,212
Adrian Howard,35,4,83.97,1,2,3,123
Adrian James,71,1,4.99,1,4,4,144
Adrian Morgan,204,3,64.47,3,3,3,333
Adrian Morris,285,2,36.59,4,3,4,434
Adrian Peterson,156,4,77.92,2,2,3,223
Adrian Ramirez,327,5,5937.73,4,1,1,411
Adrian Richardson,325,3,3282.83,4,3,1,431
Adrian Rivera,315,2,1223.84,4,3,2,432
Adrian Sanchez,46,10,190.17000000000002,1,1,3,113
Adrian Sanders,67,4,2764.4074999999993,1,2,1,121
Adrian Stewart,3,5,81.26,1,1,3,113
Adrian Torres,355,3,1179.47,4,3,2,432
Adrian Ward,309,3,71.58000000000001,4,3,3,433
Adrian Watson,235,6,144.73999999999998,3,1,3,313
Adriana Arthur,303,4,78.96000000000001,4,2,3,423
Adriana Chandra,214,5,8326.31,3,1,1,311
Adriana Garcia,239,2,34.98,3,3,4,334
Adriana Gonzalez,103,10,13242.699999999999,2,1,1,211
Adriana Kapoor,351,2,38.980000000000004,4,3,4,434
Adriana Lopez,178,6,8145.33,3,1,1,311
Adriana Madan,182,5,4435.379599999999,3,1,1,311
Adriana Malhotra,130,2,133.49,2,3,3,233
Adriana Martinez,133,3,2781.5424999999996,2,3,1,231
Adriana Mehta,70,3,4393.6996,1,3,1,131
Adriana Patel,34,3,68.97,1,3,3,133
Adriana Perez,215,1,4.99,3,4,4,344
Adriana Prasad,361,2,58.980000000000004,4,3,3,433
Adriana Raman,273,1,28.99,4,4,4,444
Adriana Rana,13,4,99.96,1,2,3,123
Adriana Rodriguez,186,2,6.28,3,3,4,334
Adriana Sai,349,3,3262.83,4,3,1,431
Adriana Sanchez,245,3,786.33,3,3,2,332
Adriana Sara,199,6,161.94,3,1,3,313
Adriana Smith,337,3,5333.25,4,3,1,431
Adriana Subram,285,2,29.479999999999997,4,3,4,434
Adriana Suri,57,4,4726.04,1,2,1,121
Adriana Vance,32,3,1744.97,1,3,2,132
Adrienne Alvarez,38,4,113.96000000000001,1,2,3,123
Adrienne Blanco,141,4,3034.0681999999993,2,2,1,221
Adrienne Dominguez,152,3,553.97,2,3,2,232
Adrienne Gill,312,5,202.46000000000004,4,1,3,413
Adrienne Gomez,48,7,8156.32,1,1,1,111
Adrienne Gutierrez,395,6,4217.219999999999,4,1,1,411
Adrienne Hernandez,377,2,1174.48,4,3,2,432
Adrienne Jiménez,199,1,32.6,3,4,4,344
Adrienne Martin,50,4,39.46,1,2,4,124
Adrienne Navarro,142,2,38.980000000000004,2,3,4,234
Adrienne Ortega,229,1,4.99,3,4,4,344
Adrienne Ramos,332,2,7.28,4,3,4,434
Adrienne Ruiz,216,4,67.26,3,2,3,323
Adrienne Sanz,119,9,7000.8724999999995,2,1,1,211
Adrienne Serrano,185,7,6999.092499999999,3,1,1,311
Adrienne Suarez,120,2,6.28,2,3,4,234
Adrienne Torres,140,5,8143.029999999999,2,1,1,211
Adrienne Vazquez,168,2,1750.98,3,3,2,332
Aidan Alexander,300,10,148.19,4,1,3,413
Aidan Barnes,318,4,603.96,4,2,2,422
Aidan Bennett,53,4,1784.96,1,2,2,122
Aidan Bryant,175,5,3183.939999999999,3,1,1,311
Aidan Butler,55,2,39.980000000000004,1,3,4,134
Aidan Coleman,88,5,633.45,2,1,2,212
Aidan Diaz,123,3,4828.11,2,3,1,231
Aidan Flores,358,3,1729.97,4,3,2,432
Aidan Foster,64,3,1938.47,1,3,2,132
Aidan Gonzales,166,2,2701.4275,2,3,1,231
Aidan Griffin,247,1,29.99,3,4,4,344
Aidan Hayes,27,2,152.6,1,3,3,133
Aidan Henderson,1038,1,3578.27,4,4,1,441
Aidan Hughes,235,2,12.940000000000001,3,3,4,334
Aidan Jenkins,151,1,29.99,2,4,4,244
Aidan Long,305,2,78.97999999999999,4,3,3,433
Aidan Patterson,294,3,37.269999999999996,4,3,4,434
Aidan Perry,193,6,5985.209999999999,3,1,1,311
Aidan Powell,427,1,2049.0982,4,4,2,442
Aidan Ross,290,5,5973.24,4,1,1,411
Aidan Russell,263,2,39.980000000000004,3,3,4,334
Aidan Simmons,250,4,157.26999999999998,3,2,3,323
Aidan Washington,114,2,548.98,2,3,2,232
Aidan Wood,122,3,1503.5782000000002,2,3,2,232
Aimee Chen,58,3,1957.47,1,3,2,132
Aimee Gao,159,3,565.47,2,3,2,232
Aimee Guo,159,3,77.27000000000001,2,3,3,233
Aimee He,234,7,8179.999999999998,3,1,1,311
Aimee Hu,362,2,39.980000000000004,4,3,4,434
Aimee Huang,133,4,673.97,2,2,2,222
Aimee Li,143,5,4792.73,2,1,1,211
Aimee Liu,233,2,4793.12,3,3,1,331
Aimee Lu,113,2,78.97999999999999,2,3,3,233
Aimee Ma,357,1,4.99,4,4,4,444
Aimee She,350,3,5900.55,4,3,1,431
Aimee Sun,279,3,60.47,4,3,3,433
Aimee Wang,224,4,2527.9599999999996,3,2,1,321
Aimee Wu,119,5,165.07,2,1,3,213
Aimee Zeng,267,3,31.269999999999996,4,3,4,434
Aimee Zhang,98,4,1917.46,2,2,2,222
Aimee Zheng,102,5,3946.522499999999,2,1,1,211
Aimee Zhou,222,4,77.96,3,2,3,323
Ajay Solanki,261,3,144.26999999999998,3,3,3,333
Alan Cai,348,3,583.97,4,3,2,432
Alan Chen,71,10,7295.04,1,1,1,111
Alan Gao,259,2,30.479999999999997,3,3,4,334
Alan Guo,175,5,5964.219999999999,3,1,1,311
Alan He,78,6,6825.4496,1,1,1,111
Alan Hu,50,3,91.28000000000002,1,3,3,133
Alan Huang,152,6,6802.128199999999,2,1,1,211
Alan Li,69,2,777.34,1,3,2,132
Alan Liang,235,3,801.83,3,3,2,332
Alan Lin,31,2,7.28,1,3,4,134
Alan Liu,143,3,44.97,2,3,4,234
Alan Lu,47,3,67.93,1,3,3,133
Alan Ma,293,1,2443.35,4,4,2,442
Alan She,42,1,539.99,1,4,2,142
Alan Shen,113,5,2770.522499999999,2,1,1,211
Alan Sun,16,2,39.980000000000004,1,3,4,134
Alan Wang,88,7,6841.4295999999995,2,1,1,211
Alan Xu,314,3,6056.61,4,3,1,431
Alan Yang,66,3,39.97,1,3,4,134
Alan Ye,140,5,1197.41,2,1,2,212
Alan Zeng,169,1,1700.99,3,4,2,342
Alan Zhang,320,2,38.980000000000004,4,3,4,434
Alan Zheng,70,6,5007.299999999999,1,1,1,111
Alan Zhou,16,5,144.94,1,1,3,113
Alan Zhu,64,4,4391.74,1,2,1,121
Albert Alonso,77,4,132.27,1,2,3,123
Albert Alvarez,36,4,5938.25,1,2,1,121
Albert Blanco,233,8,8374.789999999999,3,1,1,311
Albert Cabello,213,1,24.99,3,4,4,344
Albert Castro,0,2,39.980000000000004,1,3,4,134
Albert Diaz,226,3,42.28,3,3,4,334
Albert Dominguez,164,4,607.96,2,2,2,222
Albert Gomez,173,2,5898.26,3,3,1,331
Albert Hernandez,392,3,2398.0499999999997,4,3,2,432
Albert Jiménez,76,1,49.99,1,4,3,143
Albert Martin,260,2,548.98,3,3,2,332
Albert Moreno,240,6,5218.3982,3,1,1,311
Albert Navarro,152,5,4947.78,2,1,1,211
Albert Ortega,193,1,9.99,3,4,4,344
Albert Ramos,213,2,7.28,3,3,4,334
Albert Romero,84,3,166.28,1,3,3,133
Albert Rubio,56,4,791.32,1,2,2,122
Albert Sanz,216,2,38.980000000000004,3,3,4,334
Albert Serrano,205,6,4708.019999999999,3,1,1,311
Albert Suarez,267,2,32.28,4,3,4,434
Albert Vazquez,165,2,1750.98,2,3,2,232
Alberto Alonso,138,3,32.269999999999996,2,3,4,234
Alberto Alvarez,165,4,561.9200000000001,2,2,2,222
Alberto Blanco,174,3,2443.5499999999997,3,3,2,332
Alberto Diaz,340,3,38.88,4,3,4,434
Alberto Dominguez,338,3,64.97,4,3,3,433
Alberto Gill,192,4,4758.24,3,2,1,321
Alberto Gomez,3,3,36.96,1,3,4,134
Alberto Gutierrez,126,5,88.96,2,1,3,213
Alberto Hernandez,182,6,2272.1974999999993,3,1,2,312
Alberto Jiménez,108,6,4468.5581999999995,2,1,1,211
Alberto Martin,286,4,45.22,4,2,4,424
Alberto Muñoz,42,8,125.50999999999999,1,1,3,113
Alberto Navarro,313,5,5958.179999999999,4,1,1,411
Alberto Ortega,177,5,2732.6974999999993,3,1,1,311
Alberto Ramos,42,8,6901.4196,1,1,1,111
Alberto Romero,92,1,8.99,2,4,4,244
Alberto Rowe,261,2,38.980000000000004,3,3,4,334
Alberto Ruiz,74,3,27.769999999999996,1,3,4,134
Alberto Sanz,214,3,69.97,3,3,3,333
Alberto Serrano,62,3,4399.0782,1,3,1,131
Alberto Suarez,19,3,88.97,1,3,3,133
Alejandro Anand,34,3,60.47,1,3,3,133
Alejandro Andersen,117,2,777.34,2,3,2,232
Alejandro Beck,95,6,6576.799999999999,2,1,1,211
Alejandro Cai,317,6,3071.012499999999,4,1,1,411
Alejandro Chander,288,3,75.47,4,3,3,433
Alejandro Chavez,182,3,69.97,3,3,3,333
Alejandro Chen,82,6,6658.579999999999,1,1,1,111
Alejandro Deng,292,3,38.88,4,3,4,434
Alejandro Gao,332,2,24.27,4,3,4,434
Alejandro Goel,79,6,6766.628199999999,1,1,1,111
Alejandro Guo,242,3,3907.5424999999996,3,3,1,331
Alejandro Hu,39,6,138.54,1,1,3,113
Alejandro Huang,211,7,8128.509999999998,3,1,1,311
Alejandro Kumar,31,6,5177.398199999999,1,1,1,111
Alejandro Lal,302,5,4419.0581999999995,4,1,1,411
Alejandro Li,59,2,78.97999999999999,1,3,3,133
Alejandro Liang,49,3,49.97,1,3,3,133
Alejandro Lin,211,4,118.96000000000001,3,2,3,323
Alejandro Liu,287,4,6110.599999999999,4,2,1,421
Alejandro Lu,293,2,39.980000000000004,4,3,4,434
Alejandro Luo,315,6,6799.4496,4,1,1,411
Alejandro Ma,181,4,3310.4074999999993,3,2,1,321
Alejandro Nara,58,6,4312.908199999999,1,1,1,111
Alejandro Nath,325,3,27.769999999999996,4,3,4,434
Alejandro Rai,297,4,99.47,4,2,3,423
Alejandro Raji,390,5,4253.8099999999995,4,1,1,411
Alejandro Shan,252,3,27.769999999999996,3,3,4,334
Alejandro Sharma,313,4,571.72,4,2,2,422
Alejandro She,197,4,4203.32,3,2,1,321
Alejandro Shen,209,3,93.47999999999999,3,3,3,333
Alejandro Sun,226,2,1174.48,3,3,2,332
Alejandro Tang,262,3,34.47,3,3,4,334
Alejandro Wang,237,3,6029.57,3,3,1,331
Alejandro Wu,73,3,64.47,1,3,3,133
Alejandro Xie,186,2,39.980000000000004,3,3,4,334
Alejandro Xu,41,5,2010.44,1,1,2,112
Alejandro Yang,207,4,100.46000000000001,3,2,3,323
Alejandro Ye,232,3,3826.3995999999997,3,3,1,331
Alejandro Yuan,199,1,4.99,3,4,4,344
Alejandro Zeng,150,5,3319.397499999999,2,1,1,211
Alejandro Zhang,31,5,184.26,1,1,3,113
Alejandro Zhao,197,3,2726.4174999999996,3,3,1,331
Alejandro Zheng,311,2,29.479999999999997,4,3,4,434
Alejandro Zhou,31,5,123.44999999999999,1,1,3,113
Alejandro Zhu,118,2,54.980000000000004,2,3,3,233
Alex Adams,156,2,1735.98,2,3,2,232
Alex Allen,156,1,69.99,2,4,3,243
Alex Bailey,983,1,3578.27,4,4,1,441
Alex Baker,271,2,31.279999999999998,4,3,4,434
Alex Bell,179,7,3118.5999999999995,3,1,1,311
Alex Brooks,83,2,71.97,1,3,3,133
Alex Campbell,267,6,4730.319999999999,4,1,1,411
Alex Carter,200,4,5975.23,3,2,1,321
Alex Collins,176,1,2.29,3,4,4,344
Alex Cook,52,4,2362.2699999999995,1,2,2,122
Alex Cooper,238,5,1407.45,3,1,2,312
Alex Cox,122,2,3102.9799999999996,2,3,1,231
Alex Edwards,348,3,61.96,4,3,3,433
Alex Evans,236,4,53.97,3,2,3,323
Alex Gonzalez,204,4,3377.3974999999996,3,2,1,321
Alex Gray,62,2,30.479999999999997,1,3,4,134
Alex Green,306,2,58.980000000000004,4,3,3,433
Alex Hernandez,564,1,2049.0982,4,4,2,442
Alex Hill,273,3,6054.22,4,3,1,431
Alex Howard,143,2,34.98,2,3,4,234
Alex James,66,3,33.43,1,3,4,134
Alex Kelly,123,3,23.97,2,3,4,234
Alex King,155,2,38.980000000000004,2,3,4,234
Alex Lopez,164,3,1164.47,2,3,2,232
Alex Mitchell,347,2,1170.48,4,3,2,432
Alex Morgan,293,1,4.99,4,4,4,444
Alex Morris,178,3,93.47999999999999,3,3,3,333
Alex Murphy,32,2,1155.48,1,3,2,132
Alex Nelson,3,2,29.479999999999997,1,3,4,134
Alex Parker,123,5,4389.589999999999,2,1,1,211
Alex Perez,358,3,2482.56,4,3,2,432
Alex Peterson,1,8,172.89,1,1,3,113
Alex Phillips,104,4,121.57000000000002,2,2,3,223
Alex Ramirez,138,5,611.94,2,1,2,212
Alex Reed,228,3,31.269999999999996,3,3,4,334
Alex Richardson,239,3,37.269999999999996,3,3,4,334
Alex Roberts,115,1,1700.99,2,4,2,242
Alex Rogers,145,4,578.46,2,2,2,222
Alex Sanchez,194,4,4736.03,3,2,1,321
Alex Sanders,116,2,14.98,2,3,4,234
Alex Scott,189,5,2989.3795999999993,3,1,1,311
Alex Stewart,60,5,63.15,1,1,3,113
Alex Torres,53,2,2349.9799999999996,1,3,2,132
Alex Turner,163,4,588.96,2,2,2,222
Alex Ward,115,5,115.24999999999999,2,1,3,213
Alex Watson,205,2,27.279999999999998,3,3,4,334
Alex Wright,328,2,78.97999999999999,4,3,3,433
Alex Young,251,1,24.99,3,4,4,344
Alexa Bailey,33,3,33.43,1,3,4,134
Alexa Bell,393,3,563.77,4,3,2,432
Alexa Brooks,251,1,4.99,3,4,4,344
Alexa Cook,285,2,43.99,4,3,4,434
Alexa Cooper,225,3,3330.4174999999996,3,3,1,331
Alexa Cox,299,3,64.97,4,3,3,433
Alexa Gray,36,4,5976.32,1,2,1,121
Alexa Howard,20,1,4.99,1,4,4,144
Alexa James,47,2,574.98,1,3,2,132
Alexa Kelly,72,3,74.98,1,3,3,133
Alexa Morris,171,3,553.97,3,3,2,332
Alexa Murphy,151,4,6106.599999999999,2,2,1,221
Alexa Peterson,180,3,3350.4174999999996,3,3,1,331
Alexa Reed,146,1,29.99,2,4,4,244
Alexa Richardson,346,2,1735.98,4,3,2,432
Alexa Rivera,900,1,3578.27,4,4,1,441
Alexa Rogers,124,2,27.279999999999998,2,3,4,234
Alexa Sanchez,286,3,579.97,4,3,2,432
Alexa Sanders,332,3,4127.25,4,3,1,431
Alexa Stewart,98,2,4455.489600000001,2,3,1,231
Alexa Travers,238,3,3337.0424999999996,3,3,1,331
Alexa Ward,141,2,38.980000000000004,2,3,4,234
Alexa Watson,101,1,8.99,2,4,4,244
Alexander Anderson,121,3,69.97,2,3,3,233
Alexander Brown,78,3,144.47,1,3,3,133
Alexander Davis,212,3,2479.9399999999996,3,3,2,332
Alexander Garcia,78,4,110.94999999999999,1,2,3,123
Alexander Harris,259,2,1155.48,3,3,2,332
Alexander Jackson,341,1,24.99,4,4,4,444
Alexander Johnson,255,4,114.46,3,2,3,323
Alexander Jones,40,3,80.96,1,3,3,133
Alexander Lee,30,4,149.91,1,2,3,123
Alexander Martin,0,2,9.98,1,3,4,134
Alexander Martinez,296,2,34.89,4,3,4,434
Alexander Miller,381,3,2848.7596,4,3,1,431
Alexander Robinson,152,6,3117.229999999999,2,1,1,211
Alexander Rodriguez,292,1,29.99,4,4,4,444
Alexander Smith,66,1,2319.99,1,4,2,142
Alexander Taylor,130,2,39.980000000000004,2,3,4,234
Alexander Thompson,121,3,4464.479600000001,2,3,1,231
Alexander Walker,39,5,4828.3099999999995,1,1,1,111
Alexander White,272,1,9.99,4,4,4,444
Alexander Williams,229,2,29.93,3,3,4,334
Alexander Wilson,289,2,71.97,4,3,3,433
Alexandra Adams,940,1,3578.27,4,4,1,441
Alexandra Alexander,1,2,36.59,1,3,4,134
Alexandra Allen,98,3,4417.75,2,3,1,231
Alexandra Anderson,75,4,600.46,1,2,2,122
Alexandra Bailey,271,6,4522.502499999999,4,1,1,411
Alexandra Baker,196,1,28.99,3,4,4,344
Alexandra Barnes,155,5,6031.3099999999995,2,1,1,211
Alexandra Bell,48,1,28.99,1,4,4,144
Alexandra Bennett,208,3,71.58000000000001,3,3,3,333
Alexandra Brooks,286,3,37.269999999999996,4,3,4,434
Alexandra Brown,219,6,4788.57,3,1,1,311
Alexandra Bryant,117,3,42.97,2,3,4,234
Alexandra Campbell,61,4,2361.9499999999994,1,2,2,122
Alexandra Carter,12,2,94.47999999999999,1,3,3,133
Alexandra Clark,173,3,49.97,3,3,3,333
Alexandra Coleman,284,2,1155.48,4,3,2,432
Alexandra Collins,152,5,4368.0581999999995,2,1,1,211
Alexandra Cook,246,2,39.980000000000004,3,3,4,334
Alexandra Cooper,78,6,131.23999999999998,1,1,3,113
Alexandra Cox,290,4,96.07000000000001,4,2,3,423
Alexandra Davis,103,2,43.99,2,3,4,234
Alexandra Diaz,39,2,14.98,1,3,4,134
Alexandra Edwards,130,5,2386.939999999999,2,1,2,212
Alexandra Evans,148,2,68.49,2,3,3,233
Alexandra Flores,89,3,1957.47,2,3,2,232
Alexandra Foster,118,5,105.26,2,1,3,213
Alexandra Garcia,315,4,819.46,4,2,2,422
Alexandra Gonzales,65,3,563.77,1,3,2,132
Alexandra Gray,293,2,27.279999999999998,4,3,4,434
Alexandra Green,324,2,13.98,4,3,4,434
Alexandra Griffin,5,1,4.99,1,4,4,144
